Geo Point;Geo Shape;gml_id;LOCALISATION;GID;IDENT;NATURE_N1;NATURE_N2;NATURE;SOUS_NATURE;GID_ACTE;DATE_DEBUT_ACTE;DATE_FIN_ACTE;GID_EMPRISE;TYPE_EMPRISE;LOCALISATION_EMPRISE;MES_LIBELLE;TYPE_GEOMETRIE
44.89280037316239, -0.5492927454153331;"{""coordinates"": [[-0.549331424514022, 44.8931707434574], [-0.549254066316645, 44.89243000286737]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.154706;Avenue de Labarde (Bordeaux) en agglomération;154706;2410463;110;435;Gestion de l'espace public;Mobiliers urbains;235691;2024-06-01;2025-06-24;298326;EMPRISE;"Avenue de Labarde (face à l'entreprise ""Ecotel"")";Neutralisation de voie;LIGNE
44.85549177583883, -0.5456356766809357;"{""coordinates"": [[-0.54461854576768, 44.85491260527727], [-0.546652807594191, 44.856070946400386]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.147982;Rue Lajaunie au N° 23 (Bordeaux) situé en agglomération;147982;2403909;96;288;Adduction Eau Potable - Réseau;Modification;241638;2024-09-23;2024-10-04;305958;EMPRISE;Rue Lajaunie (Bordeaux);"Neutralisation de voie;Interdiction de stationnement";LIGNE
44.8407917521946, -0.5915996079504252;"{""coordinates"": [[[-0.590900933253717, 44.84084336489886], [-0.590995734612194, 44.84083685492326]], [[-0.591568318133994, 44.84079379531656], [-0.591952349437976, 44.840765840979714]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.147664;Rue Judaïque au N° 162 (Bordeaux) situé en agglomération Rue Judaïque à partir du N° 168 jusqu'au N° 176 (Bordeaux) situés en agglomération;147664;2403612;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;238571;2024-08-19;2024-11-18;302081;EMPRISE;du 168 au 170 Rue Judaïque (Bordeaux);Neutralisation de voie;LIGNE
44.83579567758956, -0.5844047064510558;"{""coordinates"": [[-0.58603679699712, 44.83532060782547], [-0.582772615904992, 44.836270747353645]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157386;Cours Maréchal Juin (Bordeaux) en agglomération;157386;2413042;97;654;Aménagement  de l'espace public;Aménagement de voirie;239932;2024-09-02;2024-12-31;303796/303795/303794;DEVIATION/EMPRISE/EMPRISE;Rue Jean Renaud Dandicolle - Rue François de Sourdis/Cours Anatole France/Cours Maréchal Juin, de la Rue de Belfort jusqu'à la Rue Corps Franc Pommies (Bordeaux);"Déviation/Mesure libre stationnement/Neutralisation de voie;Rétrécissement de largeur de voie";LIGNE
44.84013854515328, -0.5850570494835545;"{""coordinates"": [[-0.584970240154986, 44.84014233532801], [-0.585143858812123, 44.84013475497854]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.150425;Rue Georges Bonnac à partir du N° 79 jusqu'au N° 85 (Bordeaux) situés en agglomération;150425;2406318;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;236041;2024-07-17;2024-10-17;298799;EMPRISE;du 79 au 81 Rue Georges Bonnac (Bordeaux);Neutralisation de voie;LIGNE
44.83169770704819, -0.5764947082682811;"{""coordinates"": [[[-0.57457401311568, 44.831262376769914], [-0.574433252583251, 44.83122986525615]], [[-0.577266101121259, 44.83187005041746], [-0.575764218259189, 44.83152954608305]], [[-0.57788786136961, 44.832017873307464], [-0.577266101121259, 44.83187005041746]], [[-0.575764218259189, 44.83152954608305], [-0.575482573940128, 44.83146461970166]], [[-0.579205524830803, 44.832306583043724], [-0.57788786136961, 44.832017873307464]], [[-0.579576606033978, 44.83240417071327], [-0.579205524830803, 44.832306583043724]], [[-0.575239276421718, 44.83140767608722], [-0.57457401311568, 44.831262376769914]], [[-0.574433252583251, 44.83122986525615], [-0.573407715123542, 44.83101309132821]], [[-0.575482573940128, 44.83146461970166], [-0.575239276421718, 44.83140767608722]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.149518;Cours Aristide Briand (Bordeaux) en agglomération;149518;2405434;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;243295;2024-10-09;2024-10-09;307981;EMPRISE;supposé 89 - 91 Crous de la Victoire Cours Aristide Briand (Bordeaux);Neutralisation de voie;LIGNE
44.84169211884873, -0.5785212728641153;"{""coordinates"": [[-0.578529349034868, 44.84160893913676], [-0.578546333209252, 44.84172311756761], [-0.578454563019207, 44.841726706755374]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157514;Rue Vital Carles au N° 2 (Bordeaux) situé en agglomération;157514;2413170;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;240205;2024-09-09;2024-12-20;304148/304149;EMPRISE/EMPRISE;Cours de l'Intendance (Bordeaux) 2 Rue Vital Carles (Bordeaux)/52 Cours de l'Intendance (Bordeaux);Neutralisation de voie/Rétrécissement de largeur de voie;LIGNE
44.815817874285045, -0.5744587498760183;"{""coordinates"": [[-0.576134267557599, 44.81687998132138], [-0.572783232194438, 44.81475576724872]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157747;Boulevard du Président Franklin Roosevelt au N° 141 (Talence) situé en agglomération Boulevard du Président Franklin Roosevelt au N° 203 (Bordeaux) situé en agglomération Rue Jean Jaurès au N° 148 (Talence) situé en agglomération;157747;2413387;127;402;Télécommunication - Branchement;Modification;240657;2024-09-09;2024-10-09;304742;EMPRISE;Boulevard du Président Franklin Roosevelt, du pont de Cauderes jusqu'à la Route de Toulouse (Bordeaux);"Neutralisation de voie;Mesure libre circulation;Interdiction de stationnement";LIGNE
44.83873944738301, -0.5774292798388575;"{""coordinates"": [[[-0.577454329354997, 44.83889561685569], [-0.577414166282624, 44.83864704553882]], [[-0.577470783480461, 44.83904112925127], [-0.577461158852342, 44.838965777895744]], [[-0.577402797231087, 44.83854359872471], [-0.577383588159943, 44.838433360779824]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.157483;Rue Beaubadat à partir du N° 17 à l'intersection avec Rue des Trois Conils (Bordeaux) situés en agglomération;157483;2413139;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;240130;2024-09-16;2024-11-09;304041;EMPRISE;1 Place Jean Moulin, en bordure de chaussée;Rétrécissement de largeur de voie;LIGNE
44.83401582330167, -0.5751212696791319;"{""coordinates"": [[[-0.575833473115089, 44.83395626806245], [-0.574555430451471, 44.83390336819709]], [[-0.574867152650458, 44.83448297253342], [-0.575064460409767, 44.83391408129644]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.157809;Rue Labirat de l'intersection avec Rue Paul Louis Lande à l'intersection avec Cours Pasteur (Bordeaux) situés en agglomération Rue de Lalande de l'intersection avec Cours Pasteur à l'intersection avec Rue Labirat (Bordeaux) situés en agglomération;157809;2413447;97;654;Aménagement  de l'espace public;Aménagement de voirie;241006;2024-09-16;2025-02-28;305177/305178;EMPRISE/EMPRISE;Rue Labirat, de la Rue Paul Louis Lande jusqu'au Cours Pasteur (Bordeaux) Rue de Lalande, du Cours Pasteur jusqu'à la Rue Labirat (Bordeaux)/Rue de Lalande, de la Rue Magendie jusqu'à la Rue Labirat -- Rue Maurice Lanoire (Bordeaux);"Circulation interdite;Interdiction de stationnement;Neutralisation de voie/Mise en impasse";LIGNE
44.83123284697402, -0.5752157694974838;"{""coordinates"": [[-0.575239276421718, 44.83140767608722], [-0.57519226257325, 44.83105801786081]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.145087;RUE DONISSAN (chaussée + trottoir) -- RUE CLEMENT (entre 64 et 68 sous stationnement/trottoir) -- 24 au 28 rue SAUTEYRON (trottoir) -- 49 rue VILLEDIEU (trottoir) --;145087;2401165;109;333;Electricité - Réseau;Renouvellement;238908;2024-09-30;2024-11-29;302500/302502/302501;EMPRISE/DEVIATION/EMPRISE;rue Donissan, rue Sauteyron, place de la Victoire, impasse Soubiran du 48 au 52 rue Villedieu rue Louis Liard du 14 à rue René Roy de Clotte, du 21 au 39 rue Roy de Clotte, rue Clément du 60 au cours de l'Argonne, du 20 au 24 rue Leberthon, du 12 au 26 et du 25 au 13 rue Millière --/Rue Donissan (Bordeaux)/rue Donissan, rue Sauteyron, rue Louis Liard, rue René Roy de Clotte, rue Villedieu, rue Clément, Impasse Soubiran, place de la Victoire angle rue Sauteyron (Bordeaux);"Interdiction de stationnement/Déviation/Neutralisation de voie;Mise en impasse";LIGNE
44.82991509164279, -0.5750574273782008;"{""coordinates"": [[[-0.575232763407125, 44.831343479950384], [-0.575016574810919, 44.829644365151], [-0.574903422021123, 44.82852190877276]], [[-0.574904816454705, 44.82854438519155], [-0.574935006700618, 44.82852091645624]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.150224;Rue Donissan (Bordeaux) situés en agglomération;150224;2406132;110;433;Gestion de l'espace public;Couche de roulement;241031#238808;2024-10-14#2024-10-14;2024-11-15#2024-11-15;305215/305216#305194/302384/302383/305195/302385;EMPRISE/EMPRISE#EMPRISE/EMPRISE/EMPRISE/EMPRISE/DEVIATION;Rue Cousin (Bordeaux)/Rue Henri IV, de la Place de la Victoire jusqu'à la Rue Cousin (Bordeaux)#64 Rue Clément (Bordeaux)/Rue Sauteyron, de rue Leberthon jusqu'à place de la Victoire, sortie par la borne. -- Rue René Roy de Clotte, de rue Leberthon jusqu'à rue Louis Liard (Bordeaux)/Rue Donissan et ses intersections (Bordeaux)/Rue Millière, de la Rue Sauteyron jusqu'au 26 (Bordeaux)/1/ Rue Sauteyron, place de la Victoire par la borne au droit de la Poste 2/ Cours Aristide Briand, place de la Victoire, cours de la Somme, rue Mercière, rue Leberthon (Bordeaux);"Interdiction de stationnement;Neutralisation de voie/Interdiction de stationnement#Interdiction de stationnement/Mise en impasse/Interdiction de stationnement;Neutralisation de voie/Interdiction de stationnement/Déviation";LIGNE
44.86245207967055, -0.6231389252065898;"{""coordinates"": [[-0.62325676800699, 44.862377430393295], [-0.623266643756267, 44.862377116105165], [-0.623003264121019, 44.86253188237438]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157678;Rue Commandant Charcot à partir du N° 3 jusqu'au N° 10 (Bordeaux) situés en agglomération;157678;2413323;97;422;Aménagement  de l'espace public;Réfection trottoir;240515;2024-09-23;2024-11-23;304571;EMPRISE;du 3 au 7 Rue Commandant Charcot (Bordeaux) au droit et en face pour un chantier face au numéro 5;"Circulation alternée;Rétrécissement de largeur de voie;Interdiction de stationnement;Limitation de vitesse";LIGNE
44.85352867572014, -0.6103966865501773;"{""coordinates"": [[-0.610369508684593, 44.853548891329], [-0.610423864415762, 44.85350846011128]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.159186;Avenue du Général Leclerc à partir du N° 103 jusqu'au N° 92 (Bordeaux) situés en agglomération Rue Jules Michelet au N° 34 (Bordeaux) situé en agglomération Rue du Velodrome au N° 4 (Bordeaux) situé en agglomération;159186;2414770;110;436;Gestion de l'espace public;Signalisation;243122;2024-09-30;2024-10-14;307761;EMPRISE;à l'intersection de l'Avenue du Général Leclerc, de la Rue Jules Michelet et de la Rue du Velodrome;"Limitation de vitesse;Circulation alternée;Neutralisation de voie";LIGNE
44.85475511546453, -0.6099873054620347;"{""coordinates"": [[-0.610036955623681, 44.85527773334793], [-0.610189168683507, 44.85470695925624], [-0.610188828032611, 44.85464890916708], [-0.610154697122365, 44.85460424660746], [-0.610106912804363, 44.8545916866268], [-0.609518978345255, 44.854511802642016]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157654;Rue Jean Coudanne de l'intersection avec Rue Godard à l'intersection avec Rue du Velodrome (Bordeaux) situés en agglomération;157654;2413299;110;571;Gestion de l'espace public;Entretien de la voirie;240470;2024-09-30;2024-12-30;304515;EMPRISE;Rue Jean Coudanne, de la Rue Godard jusqu'à la Rue du Velodrome (Bordeaux);"Interdiction de stationnement;Rétrécissement de largeur de voie;Limitation de vitesse";LIGNE
44.852872882393264, -0.6090321130086306;"{""coordinates"": [[-0.608986116749335, 44.852849356906844], [-0.609078109267926, 44.85289640787966]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.150889;Avenue du Général Leclerc à partir du N° 67 jusqu'au N° 69 (Bordeaux) situés en agglomération;150889;2406761;133;460;Travaux sur immeuble - Construction;Mise en place clôture;227686;2024-04-24;2024-10-24;288179;EMPRISE;du 67 au 69 Avenue du Général Leclerc (Bordeaux);"Rétrécissement de largeur de voie;Interdiction de stationnement";LIGNE
44.853211274517726, -0.6071569699751009;"{""coordinates"": [[-0.607202580489326, 44.85316721220252], [-0.607111359460876, 44.85325533683293]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.148364;Rue Frantz Malvezin à partir du N° 13 jusqu'au N° 15 (Bordeaux) situés en agglomération;148364;2404287;133;460;Travaux sur immeuble - Construction;Mise en place clôture;243299;2024-10-02;2024-10-31;307986;EMPRISE;du 13 au 15 Rue Frantz Malvezin au droit et en face pour une manutention au 18;"Neutralisation de voie;Interdiction de stationnement;Limitation de vitesse";LIGNE
44.85152317681195, -0.5969142081568493;"{""coordinates"": [[-0.596860518749471, 44.851505079967], [-0.596967897564227, 44.85154127365691]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156619;Avenue Carnot à partir du N° 28 à l'intersection avec Avenue Félix Faure (Bordeaux) situés en agglomération;156619;2412295;133;460;Travaux sur immeuble - Construction;Mise en place clôture;238499;2024-08-08;2024-12-24;301976;EMPRISE;du 28 au 32 Avenue Carnot (Bordeaux);"Neutralisation de voie;Limitation de vitesse;Circulation alternée";LIGNE
44.84943624351945, -0.5883035982383118;"{""coordinates"": [[-0.588218358949869, 44.84941781778249], [-0.588388837526754, 44.849454669256424]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.158341;Rue Rosa Bonheur à partir du N° 23 jusqu'au N° 28 (Bordeaux) situés en agglomération;158341;2413969;135;465;Travaux sur immeuble - Rénovation / Entretien;Mise en place clôture;241623;2024-09-25;2024-10-02;305941/305942;EMPRISE/DEVIATION;23 Rue Rosa Bonheur (Bordeaux)/Rue Wustenberg - Rue Turenne - Rue du Dr Albert Barraud - Rue Naujac;Circulation interdite/Déviation;LIGNE
44.855628724169314, -0.5815807009807046;"{""coordinates"": [[[-0.581996306335706, 44.855385999431036], [-0.581853195849983, 44.85566215268492]], [[-0.581858858655914, 44.85565775196744], [-0.581040960973284, 44.855679260644116]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.148749;DU 7 RUE DU CHAMBRUN BORDEAUX// JUSQU 'A LA CONSTRUCTION EN COURS, EN FACE DU 32 RUE ALBERT -BORDEAUX + FOUILLE AU CROISEMENT DES RUES;148749;2404666;109;332;Electricité - Réseau;Création;242252;2024-09-25;2024-10-03;306690/306689/306688/306691;DEVIATION/EMPRISE/EMPRISE/EMPRISE;Rue de Lesparre de la Rue Albert jusqu'à la Rue Camille Godard, Rue Camille Godard, de la Rue de Lesparre jusqu'à la Rue Mandron et Rue Mandron, de la Rue Camille Godard jusqu'à la Rue de Varize/Rue Albert (Bordeaux)/Rue de Chambrun (Bordeaux)/Rue de Varize (Bordeaux);"Déviation/Circulation interdite;Mise en impasse;Interdiction de stationnement/Circulation interdite;Interdiction de stationnement;Mise en impasse/Mise en impasse;Circulation interdite";LIGNE
44.84534777249342, -0.6112278860607289;"{""coordinates"": [[-0.611309674529717, 44.84538212542859], [-0.611146097591741, 44.845313419558245]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.158099;Rue Pasteur à partir du N° 181 jusqu'au N° 177 (Bordeaux) situés en agglomération;158099;2413729;110;432;Gestion de l'espace public;Réfection de trottoir;241221;2024-09-23;2024-11-23;305443;EMPRISE;du 181 au 177 Rue Pasteur (Bordeaux) pour un chantier au 181;"Limitation de vitesse;Rétrécissement de largeur de voie;Neutralisation de voie";LIGNE
44.83822160189323, -0.6096239059942637;"{""coordinates"": [[[-0.609936367888008, 44.838156013038954], [-0.609821816980886, 44.83819063288457], [-0.609665285707729, 44.838216608313004], [-0.609300579453152, 44.83824291640614]], [[-0.609946257803482, 44.83817257912651], [-0.609830700070035, 44.83820750325855], [-0.609828627999681, 44.83820798431131], [-0.609670241428689, 44.83823426761593], [-0.609668644401051, 44.83823445692567], [-0.609303130988547, 44.83826082324454]]], ""type"": ""MultiLineString""}";_9501522d-e698-11e9-91fd-57b991809803.155823;Rue Bernard Adour de l'intersection avec Avenue d'Ares à l'intersection avec Rue Gourgues Et Marsaud (Bordeaux) situés en agglomération;155823;2411535;107;326;Electricité - Branchement;Création;238723;2024-08-19;2024-11-22;302261/302262/302264/302263/302260;EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE;Rue Gourgues Et Marsaud (Bordeaux) de l'Avenue de la République jusqu'à la Rue Bernard Adour/Rue Louis Sabourin (Bordeaux)/Avenue d'Ares (Bordeaux) face à la Rue Etchenique/Rue Etchenique (Bordeaux) de l'Avenue de la République jusqu'à l'Avenue d'Arès/Rue Bernard Adour, de l'Avenue d'Ares jusqu'à la Rue Jules Dugas (Bordeaux);"Mise en impasse;Limitation de vitesse;Circulation interdite/Sens interdit (ou sens unique)/Limitation de vitesse;Neutralisation de voie/Circulation interdite;Limitation de vitesse;Mise en impasse/Circulation interdite;Mise en impasse;Limitation de vitesse;Interdiction de stationnement";LIGNE
44.83411546586732, -0.6080594208086689;"{""coordinates"": [[-0.60795964301013, 44.834093645626254], [-0.608159198607208, 44.83413728610837]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.159188;Rue du Cardinal Lavigerie à partir du N° 69 jusqu'au N° 75 (Bordeaux) situés en agglomération;159188;2414772;135;467;Travaux sur immeuble - Rénovation / Entretien;Manutention;243124;2024-10-03;2024-10-03;307763/307764;EMPRISE/EMPRISE;du 69 au 75 Rue du Cardinal Lavigerie/Rue du Cardinal Lavigerie, de la rue Saint-Gilbert jusqu'à la rue Franz Schrader;Interdiction de stationnement/Circulation interdite;LIGNE
44.833819529572864, -0.602961324676084;"{""coordinates"": [[-0.602886830092206, 44.83379866385569], [-0.603035819259962, 44.83384039529003]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156606;Rue François Daunes à partir du N° 24 jusqu'au N° 28 (Bordeaux) situés en agglomération;156606;2412283;110;432;Gestion de l'espace public;Réfection de trottoir;238465;2024-08-19;2024-10-18;301932;EMPRISE;du 24 au 28 Rue François Daunes;Interdiction de stationnement;LIGNE
44.85298121191835, -0.633570052718238;"{""coordinates"": [[-0.634616086019248, 44.8531575481259], [-0.634616086019248, 44.8531575481259], [-0.632524019417228, 44.852804875710795]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.157463;Place Gabriel Faure au N° 5 (Bordeaux) situé en agglomération Rue Camille Saint-Saëns au N° 1 (Bordeaux) situé en agglomération Rue Ermend Bonnal au N° 17 (Bordeaux) situé en agglomération Rue Roger Ducasse au N° 1 (Bordeaux) situé en agglomération;157463;2413119;97;420;Aménagement  de l'espace public;Réfection générale;240088;2024-09-02;2024-11-02;303988;EMPRISE;Place Gabriel Faure (Bordeaux)/ Rue Camille Saint Saêns du 5 au 25 au droit et en face;"Interdiction de stationnement;Limitation de vitesse;Circulation alternée;Rétrécissement de largeur de voie";LIGNE
44.85941456053224, -0.6367920423876634;"{""coordinates"": [[-0.637577862377184, 44.86059556312741], [-0.637577862377184, 44.86059556312741], [-0.638177241176689, 44.85930679378182], [-0.636442975557692, 44.858669684938334], [-0.636311867980338, 44.85872454475979], [-0.634902710915426, 44.86022777304454]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.156697;Rue des Violettes au Avenue du Maréchal de Lattre de Tassigny (Bordeaux) situé en agglomération;156697;2412370;110;618;Gestion de l'espace public;Aménagement général;238634;2024-08-11;2024-11-10;302147;EMPRISE;Rue des Violettes (Bordeaux);"Limitation de vitesse;Interdiction de stationnement;Rétrécissement de largeur de voie";LIGNE
44.85908131916344, -0.6294049716537062;"{""coordinates"": [[-0.628955527012508, 44.85898374720743], [-0.628955527012508, 44.85898374720743], [-0.629854416294905, 44.85917889111945]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.158856;Avenue du Maréchal de Lattre de Tassigny à partir du N° 405 jusqu'au N° 423 (Bordeaux) situés en agglomération;158856;2414462;109;337;Electricité - Réseau;Inspection du réseau;242471;2024-10-01;2024-10-11;306950;EMPRISE;du 405 au 423 Avenue du Maréchal de Lattre de Tassigny (Bordeaux) au droit et en face;"Limitation de vitesse;Interdiction de stationnement;Circulation alternée;Rétrécissement de largeur de voie";LIGNE
44.865761252444564, -0.6311652571381808;"{""coordinates"": [[-0.630997478603061, 44.86570095298762], [-0.630997478603061, 44.86570095298762], [-0.631246077758916, 44.86581407417716], [-0.631307921549346, 44.86572764873798]], ""type"": ""LineString""}";_9501522d-e698-11e9-91fd-57b991809803.159271;Allée Davezac à partir du N° 34 à l'intersection avec Rue Paul Valéry (Bordeaux) situés en agglomération Rue Paul Valéry de l'intersection avec Allée Davezac jusqu'au N° 12 (Bordeaux) situés en agglomération;159271;2414855;109;338;Electricité - Réseau;Entretien;243304;2024-10-15;2024-10-15;307991;EMPRISE;Allée Davezac, du 34 jusqu'à la Rue Paul Valéry (Bordeaux) Rue Paul Valéry, de Allée Davezac jusqu'au 12 (Bordeaux);"Limitation de vitesse;Rétrécissement de largeur de voie;Interdiction de stationnement;Circulation alternée";LIGNE
44.84307102391746, -0.5840504989420935;"{""coordinates"": [[[-0.585005476262378, 44.84358157494326], [-0.585046528902155, 44.84328751781303], [-0.58485405155693, 44.84267427190495], [-0.584622622412654, 44.84238879705197], [-0.582984549187279, 44.84251638298619], [-0.583419827460342, 44.843789150851386], [-0.584214750934454, 44.843719080050214], [-0.585005476262378, 44.84358157494326]]], ""type"": ""Polygon""}";_92e3f15c-e698-11e9-91fd-57b991809803.89303;Rue Casteja de l'intersection avec Allée Vercingetorix à l'intersection avec Rue Abbé de l'Epée (Bordeaux) situés en agglomération;89303;2109112;133;460;Travaux sur immeuble - Construction;Mise en place clôture;237505;2024-08-01;2024-10-31;300661/300662/300664/300663;EMPRISE/EMPRISE/EMPRISE/EMPRISE;Rue Casteja, entre la Place des Martyrs de la Résistance et le Rue Abbé de l'Epée/Rue Thiac, au niveau de l'entrée du chantier de l'îlot Casteja/en face du 80 Rue Abbé de l'Epée, jusqu'en face du 84, côté impair/Rue Thiac, de la Rue Abbé de l'Epée jusqu'à la Rue Rodrigues Pereire;"Neutralisation de voie;Mesure libre circulation/Rétrécissement de largeur de voie/Rétrécissement de largeur de voie/Mesure libre circulation;Circulation inversée";SURFACE
44.82973316518951, -0.5679208070152656;"{""coordinates"": [-0.567920807015266, 44.82973316518951], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159230;Cours de la Marne (Bordeaux) en agglomération;159230;2414814;129;410;Télécommunication - Réseau;Entretien;243234;2024-10-14;2024-10-18;307903;EMPRISE;79 - 148 cours de la Marne (Bordeaux);Neutralisation de voie;POINT
44.82446716772006, -0.5576974620032952;"{""coordinates"": [[-0.557658931468254, 44.82450778255601], [-0.557735992538336, 44.8244265528841]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.158237;Rue Charles Domercq au N° 44 (Bordeaux) situé en agglomération Rue Esmangard au N° 3 (Bordeaux) situé en agglomération;158237;2413866;135;466;Travaux sur immeuble - Rénovation / Entretien;Mise en place echafaudage;241449;2024-09-11;2024-12-06;305723;EMPRISE;3 Rue Esmangard (Bordeaux);"Neutralisation de voie;Mise en impasse";POINT
44.81342329547272, -0.5563841655873906;"{""coordinates"": [-0.556384165587391, 44.81342329547272], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.156222;3+6+14+23+27+35+37+45 Rue Brulatour (Bordeaux) situé en agglomération;156222;2411918;95;276;Adduction Eau Potable - Branchement;Renouvellement;243646;2024-10-07;2024-10-18;None;None;None;None;POINT
44.82882254890259, -0.5553023516906337;"{""coordinates"": [[-0.555313303799554, 44.828827048392654], [-0.555291399581713, 44.82881804941253]], ""type"": ""MultiPoint""}";_93dfb584-e698-11e9-91fd-57b991809803.152594;Rue Charles Domercq au N° 5 (Bordeaux) situé en agglomération;152594;2408413;135;467;Travaux sur immeuble - Rénovation / Entretien;Manutention;239037;2024-08-26;2024-10-04;302672;EMPRISE;5 Rue Charles Domercq (Bordeaux);"Neutralisation de voie;Circulation alternée";POINT
44.823953535789194, -0.5541620083142184;"{""coordinates"": [-0.554162008314218, 44.823953535789194], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.154542;Rue de l'Abbesse au N° 9 (Bordeaux) situé en agglomération;154542;2410299;98;290;Assainissement - Branchement;Création;241051;2024-09-23;2024-10-04;305238;EMPRISE;9 Rue de l'Abbesse;"Mise en impasse;Mesure libre circulation;Neutralisation de voie";POINT
44.82034129430724, -0.5460771347972293;"{""coordinates"": [-0.546077134797229, 44.82034129430724], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.140774;Cité Sncf/bd Jean Jacques Bosc (Bordeaux) en agglomération;140774;2315896;97;654;Aménagement  de l'espace public;Aménagement de voirie;240063#240061;2024-09-02#2024-09-02;2025-09-01#2025-09-01;303956#303953;EMPRISE#EMPRISE;Parvis Gattebourse, du Jardin de l'Ars jusqu'à la rue de la Louisiane et de la rue de la Louisiane jusqu'à l'allée Simone Larrieur.#sur l'Allée Simone Larrieu;"Mesure libre circulation;Mesure libre stationnement#Mesure libre circulation;Mesure libre stationnement";POINT
44.87483296027018, -0.5487238324227316;"{""coordinates"": [-0.548723832422732, 44.87483296027018], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.146414;Rue Duquesne au N° 54 (Bordeaux) situé en agglomération;146414;2402403;129;620;Télécommunication - Réseau;Enfouissement;242835;2024-09-23;2024-10-23;307404/307403;DEVIATION/EMPRISE;par la rue Duquesne, la rue Léon Bourgeois, la rue Edouad Colonne et la rue Bolivar/rue François Chambrelent (au fur et à mesure de l'avancer des travaux);"Déviation/Interdiction de stationnement;Neutralisation de voie;Circulation interdite";POINT
44.879351284347614, -0.5593800675192182;"{""coordinates"": [-0.559380067519218, 44.879351284347614], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.159228;Rue Dumont d'Urville au N° 3 (Bordeaux) situé en agglomération;159228;2414812;96;288;Adduction Eau Potable - Réseau;Modification;243228;2024-10-14;2024-11-01;307897/307896;DEVIATION/EMPRISE;Rue Duguay-Trouin et avenue de Tourville/3 Rue Dumont d'Urville (Bordeaux);Déviation/Circulation interdite;POINT
44.88917300139563, -0.5469080918187078;"{""coordinates"": [-0.546908091818708, 44.88917300139563], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.142166;17 Rue Georges Barres (Bordeaux) en agglomération;142166;2317110;95;275;Adduction Eau Potable - Branchement;Création;230093;2024-05-13;2025-05-31;291243;EMPRISE;du côté impair du n°13 au n°23 Rue Georges Barres (5 jours dans la période);Circulation alternée;POINT
44.88977638197772, -0.560939814571481;"{""coordinates"": [-0.560939814571481, 44.88977638197772], ""type"": ""Point""}";_93dfb584-e698-11e9-91fd-57b991809803.136128;Cours Charles Bricaud (Bordeaux) en agglomération;136128;2311454;107;326;Electricité - Branchement;Création;209962;2023-10-23;2024-11-10;266183;EMPRISE;du 7 au 9 rue Lana;Neutralisation de voie;POINT
